stid,dsid,sitename,lat,long,dep_env,Lake/Bog/Neither [Andria],edited [Claire],notes [Claire],Site Notes [Grace&Jack],lake_size [ha],lake_size_andria_ge [m2],Notes [Andria],Status [Grace],Tilia's Entered Lake Size (ha) [Grace],Notes [Grace]
1546,1586,Lake B,53.8,-106.07917,Lacustrine,lake,NA,NA,,NA,,,,,
10405,15864,Swan Lake,28.04246,-97.171305,Marsh,marsh,NA,NA,,NA,,,,,
2536,15866,Tannersville Bog,41.038875,-75.263845,Fen,fen,2,Confirmed bog and area: Cai and Yu 2011,,300,,,,300,added dataset value
1547,1587,Lake BN7,55.00917,-73.51667,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
10407,15870,Testalinden Lake,49.11973,-119.6769,Reservoir,lake,NA,NA,,NA,,,,,
10408,15872,Top Lake,54.47601,-130.944895,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
10410,15876,Tulare Lake,36.052,-119.78,Drained Lake,lake,2,"Point in right place, lake dried.  Area is reported maximum.",,220000,,,done,220000,added dataset value
10411,15878,Tumalo Lake,44.02195,-121.5425,Fluvial Origin Lake,lake,NA,NA,,NA,,,,,
1548,1588,Lake Carlson,44.79985,-93.15975,Glacial Origin Lake,lake,2,Confirmed location: Neotoma. Confirmed lake: descr,,4.7,,,done,8,kept Neotoma value
10412,15882,Warner Lake,46.11935,-92.03985,Kettle Lake,lake,2,Confirmed lake/loc: Tweiten et al 2009,,9.3,,,done,8.5,kept Neotoma value
10413,15886,Crystal Lake,42.234015,-88.357005,Kettle Lake,lake,2,Confirmed lake: Gonzales and Grimm 2009,,93.1,,,done,93,kept Neotoma value
1549,1590,Lake CH2,49.68333,-74.58333,Glacial Origin Lake,lake,3,"Area given in publication (600x200m), Unable to confirm lake site",,12,,,done,12,already in Neotoma
10422,15904,Divers Lake,43.04099,-78.399245,Natural Lake (Origin Unknown),lake,2,"Confirmed site with Google Earth, changed area",,66,,,done,3,*kept Neotoma value
10424,15909,Ballston Lake,42.94975,-73.85325,Fluvial,lake,2,"Confirmed site with Google Earth, changed area",,37,,,done,65,kept Neotoma value
1550,1591,Lake EC1,56.28333,-75.1,Glacial Origin Lake,lake,1,Confirmed site and area with publication (Gajewski 1993),,4,,,done,4,already in Neotoma
10428,15916,Kerr Lake,46.24378,-89.2758,Kettle Lake,lake,2,Confirmed lake and peatland: Brugam and Johnson 97,,3.2,,,done,3.2,already in Neotoma
10429,15919,Crooked Lake,46.24525,-89.29409,Kettle Lake,lake,2,"Confirmed lake, Brugam et al 1997",,251.9,,,done,229,kept Neotoma value
1551,1592,Lake EC2,56.02333,-74.945,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
10430,15922,Jay Lake,46.23435,-89.28155,Kettle Lake,lake,2,Compiled from Hydrological database.,,2.5,,,done,2.8,kept Neotoma value
10431,15925,Lake O' Pines,46.140435,-89.2553,Kettle Lake,lake,2,"Confrimed lake/loc: site descirption, Ewing 2002",,4,,,,,**no site found
5803,15929,Hiscock Site,43,-78,Marsh,marsh,1,Confirmed site with publication (McAndrews 2003) and changed area,,12,,,done,0.8,*kept Neotoma value
10433,15931,Green Pond,42.56705,-72.5108,Natural Lake,lake,2,Compiled from Hydrological database.,,6,,,done,5.4,kept Neotoma value
10434,15933,Lily Warwick,42.68839,-72.337185,Kettle Lake,lake,2,Confirmed pond: Fuller et al 1998,,0.8,,,done,0.8,already in Neotoma
10435,15935,Little Mirror Lake,42.524435,-71.60848,Kettle Lake,lake,2,Compiled from Hydrological database.,,2.6,,,done,5,kept Neotoma value
10436,15939,SRM-1,25.35278,-81.11444,Mangrove Swamp,swamp,NA,NA,,37.7,,,done,,added dataset value
1553,1594,Lake GB1,55.11083,-75.24889,Kettle Lake,lake,NA,NA,,NA,,,,,
10437,15942,Otter Pond,42.65485,-72.53319,Kettle Lake,lake,2,Changed area: Fuller et al 1998,,3.1,,,done,3.1,already in Neotoma
10438,15944,Silver Lake,42.600775,-72.22854,Kettle Lake,lake,2,Compiled from Hydrological database.,,4.2,,,done,7.1,kept Neotoma
10439,15947,Larix laricina Site 4,57.719165,-75.81347,Palustrine,,NA,NA,,NA,,,,,
1554,1595,Lake GB2,56.1,-75.28333,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
10440,15950,Larix laricina Site 5,57.719165,-75.81347,Palustrine,,NA,NA,,NA,,,,,
10441,15952,Larix laricina Site 10,57.854125,-72.777555,Palustrine,,NA,NA,,NA,,,,,
10448,15965,Qually Pond,47.683165,-96.20294,Marsh,marsh,3,Could not confirm lake with description or pubs.,,9,,,done,9,added dataset value
10449,15967,Stoneman Lake,34.778865,-111.517775,Caldera Lake,lake,NA,NA,,NA,,,,,
10450,15970,Farewell Lake,62.559145,-153.64882,Glacial Scour Lake,lake,2,"Confirmed site with Google Earth, changed area",,21,,,done,400,"**vastly different, kept Neotoma value"
10453,15976,Grandfather Lake,59.79623,-158.53995,Moraine Dammed Lake,lake,1,"Confirmed site with pub (Hu et al. 1995), changed area",,20,,,done,35,kept Neotoma value
1556,1598,Lake LB1,57.91667,-75.61667,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
10455,15980,Ongivinuk Lake,59.56781,-159.357975,Glacial Meltwater Channel Lake,lake,NA,NA,,NA,,,,,
10456,15982,Mayflower Lake,45.38986,-79.21653,Kettle Lake,lake,NA,NA,,NA,,,,,
10457,15985,Itasca Bison Kill Site,47.19285,-95.2339,Bog,bog,NA,NA,,NA,,,,,
1557,1599,Lake LR1,58.58333,-75.25,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
10457,15992,Itasca Bison Kill Site,47.19285,-95.2339,Bog,bog,NA,NA,,NA,,,,,
10457,15998,Itasca Bison Kill Site,47.19285,-95.2339,Bog,bog,NA,NA,,NA,,,,,
10457,16002,Itasca Bison Kill Site,47.19285,-95.2339,Bog,bog,NA,NA,,NA,,,,,
10461,16009,Pigeon Marsh,34.66359,-85.40132,Fen,fen,NA,NA,,NA,,,,,
1558,1601,Lake LR3,58.57833,-75.245,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
10463,16012,Torren's Bog,40.3563,-82.46925,Bog,bog,NA,NA,,NA,,,,,
10465,16016,Secret Valley Marsh,40.572,-120.26505,Marsh,marsh,2,"Confirmed site with Google Earth, changed area",,125.9,,,done,125.9,added dataset value
1559,1603,Lake LT1,58.14167,-75.15,Glacial Origin Lake,lake,1,"Confirmed site with publication (Gajewski 1992), changed area",,0.5,,,done,0.5,added dataset value
1560,1604,Lake PWWL,73.59139,-98.53889,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
10469,16046,Lower Lake,38.590035,-123.30498,Tectonic Origin Lake,lake,NA,NA,,NA,,,,,
10473,16054,Little Willow Lake,40.4115,-121.389935,Explosion Crater Lake,lake,NA,NA,,NA,,,,,
1561,1606,Lake QC,46.82833,-80.69833,Unknown,lake,NA,NA,,NA,,,,,
10476,16061,Cedar Lake,41.20728,-122.4971,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
10477,16063,Elkhorn Slough,36.82535,-121.76415,Estuarine,marine,NA,NA,,NA,,,,,
10478,16065,CA-HUM-558 (Pilot Ridge),40.6617,-123.6691,Marsh,marsh,NA,NA,,NA,,,,,
10480,16069,Preston Lake,38.850205,-123.015195,Landslide Origin Lake,lake,NA,NA,,NA,,,,,
1562,1607,Lake Six,48.4,-81.31667,Lacustrine,lake,NA,NA,,NA,,,,,
10481,16071,Taylor Marsh,38.9375,-120.0597,Marsh,marsh,NA,NA,,NA,,,,,
10482,16073,Tule Lake,39.489635,-123.03548,Landslide Origin Lake,lake,NA,NA,,NA,,,,,
10483,16075,Grass Lake,41.6496,-122.16715,Volcanic Origin Lake,lake,NA,NA,,NA,,,,,
10484,16077,Bradshaw Lake peat section,57.763475,-95.18889,Mire,mire,NA,NA,,NA,,,,,
10486,16081,Chance Harbour Lake,45.670215,-62.610975,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
10487,16083,Lost Moose Core 128,57.560835,-94.26792,Mire,mire,NA,NA,,NA,,,,,
10488,16086,Island Lake,47.830255,-66.18227,Kettle Lake,lake,NA,NA,,NA,,,,,
10496,16103,Pye Lake,44.975935,-62.09061,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
10497,16105,Silcox Core 52,57.205415,-94.185,Mire,mire,NA,NA,,NA,,,,,
10498,16107,Thibaudeau,57.087085,-94.169445,Bog,bog,NA,NA,,NA,,,,,
10499,16109,Patricia Bay Lake,70.461945,-68.502775,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
1566,1611,L'Anse aux Meadows Site,51.57333,-55.55,Fen,fen,1,"Confirmed site with pub. and Google Earth, changed area",,2.2,,,,,**no site found
10500,16111,Grays Lake,43.06619,-111.43795,Tectonic Origin Lake,lake,2,Confirmed lake basin: Beiswenger 1991,,8813,,,done,8813,added dataset value
10500,16113,Grays Lake,43.06619,-111.43795,Tectonic Origin Lake,lake,2,Confirmed lake basin: Beiswenger 1991,,8813,,,done,8813,added dataset value
507,16124,Crawford Lake,43.468275,-79.94872,Glacial Scour Lake,lake,1,Moved from south of Milton,,2.2,,,done,2.4,kept Neotoma value
10505,16127,Twiss Marl Pond,43.44083,-79.95551,Artificial Lake,lake,2,"Confirmed site with Google Earth, changed area",,11,,,done,11,added dataset value
10506,16129,Lima Bog,42.78895,-88.8432,Bog,bog,2,"Site description: bog, estimated area 1.5x1.4",,210,,,,NA,"*no area in Neotoma, not a lake"
10507,16131,Mission Cross Bog,41.7847,-115.48365,Soligenous Mire,mire,NA,NA,,NA,,,,,
10508,16133,Ruby Marsh,41.13395,-115.5049,Marsh,marsh,1,"Confirmed Marsh, Changed area",,11222.9,,,,NA,"*no area in Neotoma, not a lake"
10509,16135,Awl Site midden,35.51667,-116.63333,Neotoma Midden,midden,NA,NA,,NA,,,,,
10509,16137,Awl Site midden,35.51667,-116.63333,Neotoma Midden,midden,NA,NA,,NA,,,,,
10509,16139,Awl Site midden,35.51667,-116.63333,Neotoma Midden,midden,NA,NA,,NA,,,,,
1568,1614,Langdale Pond,30.64167,-83.195,Solution Origin Lake,lake,NA,NA,,NA,,,,,
10510,16143,Nelson Basin midden,35.35,-116.73333,Neotoma Midden,midden,NA,NA,,NA,,,,,
10510,16145,Nelson Basin midden,35.35,-116.73333,Neotoma Midden,midden,NA,NA,,NA,,,,,
10510,16147,Nelson Basin midden,35.35,-116.73333,Neotoma Midden,midden,NA,NA,,NA,,,,,
10510,16149,Nelson Basin midden,35.35,-116.73333,Neotoma Midden,midden,NA,NA,,NA,,,,,
1569,1615,Tourbière de Lanoraie STJEAN,46,-73.21694,Bog,bog,NA,NA,,NA,,,,,
10510,16151,Nelson Basin midden,35.35,-116.73333,Neotoma Midden,midden,NA,NA,,NA,,,,,
10510,16153,Nelson Basin midden,35.35,-116.73333,Neotoma Midden,midden,NA,NA,,NA,,,,,
10510,16155,Nelson Basin midden,35.35,-116.73333,Neotoma Midden,midden,NA,NA,,NA,,,,,
10512,16159,No Name East midden,35.43333,-116.56667,Neotoma Midden,midden,NA,NA,,NA,,,,,
10512,16161,No Name East midden,35.43333,-116.56667,Neotoma Midden,midden,NA,NA,,NA,,,,,
10513,16169,No Name West midden,35.43333,-116.56667,Neotoma Midden,midden,NA,NA,,NA,,,,,
1571,1617,Lateral Pond,65.94222,-135.51417,Moraine Dammed Lake,lake,2,Site's in the right place.,,3.5,,,done,4,kept Neotoma value
10515,16175,Binnewater Pond,41.40935,-74.551335,Lacustrine,lake,2,"Confirmed site with Google Earth, changed area",,77,,,done,77,added dataset value
10516,16177,Hyde Park,41.78575,-73.90115,Artificial Lake,lake,1,"Confirmed site, changed area",,2.6,,,done,2.6,added dataset value
10517,16179,Otisville,41.47025,-74.5244,Bog,bog,1,"Confirmed site from pub., changed area",,7.9,,,,NA,"no area in Neotome, not a lake"
10518,16181,Pawelski Farm,41.33395,-74.43065,Artificial Lake,lake,NA,NA,,NA,,,,,
10519,16184,Benicia State Park,38.073475,-122.193055,Marsh,marsh,NA,NA,,NA,,,,,
10520,16186,China Camp,38.0075,-122.493335,Salt Marsh,marsh,1,Confirmed site and area with pub (Malamud-Roam et al. 2004),,53,,,,NA,"no area in Neotoma, not a lake"
10521,16189,Rice Lake,44.199085,-78.14232,Marsh,marsh,NA,NA,,NA,,,,,
10521,16191,Rice Lake,44.199085,-78.14232,Marsh,marsh,NA,NA,,NA,,,,,
10521,16193,Rice Lake,44.199085,-78.14232,Periglacial Origin Lake,lake,NA,NA,,NA,,,,,
10522,16197,Mountain Lake,37.78826,-122.470765,Wind Origin Lake,lake,NA,NA,,NA,,,,,
1576,1622,Leading Tickles,49.47139,-55.47306,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
10537,16236,Red Green Lake,68.65421,-149.681235,Glacial Origin Lake,lake,2,"Confirmed site, changed area",,18,,,done,2,kept Neotoma value
10538,16238,Tukuto Lake,68.4988,-157.0301,Glacial Origin Lake,lake,2,"Confirmed site with Google Earth, changed area",,23,,,done,300,"**vastly different, kept Neotoma value"
10539,16241,Upper Capsule Lake,68.631445,-149.416925,Glacial Origin Lake,lake,2,"Confirmed site with pub (Oswald et al, 2003), changed area",,36,,,done,1,kept Neotoma value
8585,16251,Horseshoe Lake,38.7018,-90.09503,Oxbow Lake,lake,1,"Confirmed lake, site description: oxbow lake, Confirmed area",,1426.6,,,done,807.6806613,kept Neotoma value
8585,16254,Horseshoe Lake,38.7018,-90.09503,Oxbow Lake,lake,1,"Confirmed lake, site description: oxbow lake, Confirmed area",,1426.6,,,done,807.6806613,kept Neotoma value
10544,16256,McGinnis Lake,44.607495,-78.039815,Lacustrine,lake,NA,NA,,NA,,,,,
10544,16257,McGinnis Lake,44.607495,-78.039815,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
1579,1626,Lac à Léonard,49.20778,-65.81278,Natural Lake,lake,1,"Confirmed site with publication, Changed area",,0.8,,,done,0.2,kept Neotoma value
10548,16264,Dugas Bay Bog,46.3017,-79.38262,Fen,fen,NA,NA,,NA,,,,,
10549,16265,Glenora Bay,44.04639,-77.039165,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
10550,16267,Kilbride Swamp,43.464585,-79.91542,Swamp,swamp,NA,NA,,NA,,,,,
10551,16269,Mark Pond,51.83986,-89.615415,Kettle Lake,lake,NA,NA,,NA,,,,,
10552,16271,Preston Lake,43.986905,-79.37944,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
10553,16273,Rife Swamp,43.46778,-79.98681,Swamp,swamp,NA,NA,,NA,,,,,
10554,16275,Round Pond,52.531655,-91.37236,Kettle Lake,lake,NA,NA,,NA,,,,,
10556,16278,Webbs Lake,44.167065,-78.1025,Kettle Lake,lake,2,Confirmed site and area,,6.2,,,done,6.2,added dataset value
1582,1629,Lewis Lake,45.74944,-93.36417,Kettle Lake,lake,2,Confirmed lake: site description,,71,,,done,87,kept Neotoma value
1585,1632,Lily Lake,59.2,-135.4,Glacial Origin Lake,lake,1,Moved based on map & google.  Area measured is different than in paper (<5ha).,,12,,,done,5,kept Neotoma value
1586,1633,Lily Lake,45.04816,-92.823905,Kettle Lake,lake,NA,NA,,NA,,,,,
1587,1635,Lily Lake,43.76667,-110.31667,Kettle Lake,lake,NA,NA,,NA,,,,,
1588,1637,Lily Lake Fen,43.76667,-110.31667,Fen,fen,1,"Confirmed with site discription, Fen is adjacent to lake, not surrounding it",,2.5,,,,NA,"no area in Neotoma, not a lake"
1590,1639,Little Bass Lake,47.286,-93.600465,Kettle Lake,lake,2,Assumed correct locaiton in lake - but min. info,,63.9,,,done,65,kept Neotoma value
1591,1640,Little Lake,45.143555,-66.713325,Kettle Lake,lake,NA,NA,,NA,,,,,
1592,1642,Little Lake,44.16658,-123.583975,Landslide Origin Lake,lake,2,"In a lake.  There is a large adjacent lake, but pub not available.",,3.5,,,done,3.5,added dataset value
1593,1643,Little Pine Lake,45.28333,-91.48333,Kettle Lake,lake,2,"Confirmed lake: site description, Gajewski 1985",,4.3,,,done,4,kept Neotoma value
1594,1644,LDDsite5772,44.8,-76.68306,Lacustrine,lake,1,"Confirmed site with Google Earth, changed area",,14.9,,,done,14.9,added dataset value
1597,1648,Lake Annie,27.20731,-81.350875,Lacustrine,lake,NA,NA,,NA,,,,,
1599,1650,Lake Hope Simpson,52.45,-56.43333,Lacustrine,lake,3,"Area given in publication, Unable to confirm lake site",,65,,,done,65,kept Neotoma value
1605,1656,Lofty Lake,54.72528,-112.48083,Kettle Lake,lake,NA,NA,,NA,,,,,
1606,1657,Lone Fox Lake,56.71667,-119.71667,Glacial Origin Lake,lake,2,Confirmed site and area with pub (MacDonald 1987),,63,,,done,5,*kept Neotoma value
1607,1658,Lonesome Lake,44.14,-71.70111,Glacial Origin Lake,lake,2,"Confirmed site with Google Earth, changed area",,17,,,done,5.2,kept Neotoma value
1608,1659,Long Lake (CA:Nunavut),62.63333,-101.23333,Terrestrial,,NA,NA,,NA,,,,,
1609,1660,Long Lake,36.00556,-108.83333,Natural Lake,lake,NA,NA,,60.6,,,done,72,kept Neotoma value
1610,1661,Longswamp,40.48333,-75.66667,Swamp,swamp,NA,NA,,NA,,,,,
1611,1663,Loon Pond,45.03333,-68.2,Kettle Lake,lake,NA,NA,,NA,,,,,
1613,1665,Lost Lake,46.719435,-87.97207,Lacustrine,lake,2,Confirmed loc. Changed area: Brubaker 1975,,1,,,done,1,added dataset value
1614,1666,Lost Lake,47.63516,-110.48434,Fluvial Origin Lake,lake,NA,NA,,NA,,,,,
1615,1667,Lost P.,44.24694,-71.25139,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
1618,1670,Louise Pond,52.94643,-131.764345,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
1619,1671,Loxahatchee National Wildlife Refuge Site 1 (EPA Site 7),26.48111,-80.41556,Marsh,marsh,NA,NA,,NA,,,,,
1629,1684,Lynn Lake,56.84167,-101.04194,Mire,mire,NA,NA,,NA,,,,,
1630,1685,Lake Mabel,44.36044,-93.61535,Kettle Lake,lake,2,Confirmed lake: site description,,39.7,,,done,42,kept Neotoma value
1636,1691,Tourbière du lac Malbaie,47.59722,-70.97639,Bog,bog,NA,NA,,NA,,,,,
1638,1693,Maligne Lake,52.73333,-117.61667,Kettle Lake,lake,1,"Confirmed lake, changed area",,5096.9,,,done,5096.9,added dataset value
1642,1697,Mangrove Lake,32.3,-64.75,Solution Origin Lake,lake,NA,NA,,NA,,,,,
1643,1698,Mansell Pond,45.04167,-68.73333,Kettle Lake,lake,1,Description: lake. Area: Almquist-Jacobson 1995,,4,,,done,4,already in Neotoma
1646,1701,Maplehurst Lake,43.225,-80.65972,Lacustrine,lake,NA,NA,,NA,,,,,
1647,1703,Lac Marcotte,47.07778,-71.42278,Natural Lake,lake,1,"Confirmed area with publication, Confirmed site with Google Earth",,3.8,,,done,3.8,already in Neotoma
1648,1704,M Lake,68.26667,-133.46667,Glacial Origin Lake,lake,1,"Confirmed site with publication, Changed area",,69.3,,,done,7.7,*kept Neotoma value
1649,1705,Marion Lake,49.30833,-122.54722,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
1651,1707,Mariposa Lake,44.15,-110.23333,Glacial Scour Lake,lake,1,"Confirmed site with Google Earth, changed area",,11.6,,,done,11.6,added dataset value
1652,1708,Martin Pond,47.173975,-94.943965,Kettle Lake,lake,2,Confirmed pond: site description,,0.1,,,done,0.2,kept Neotoma value
1653,1709,Lac Martyne,56.78333,-64.83333,Lacustrine,lake,NA,NA,,NA,,,,,
1656,1712,Mashapaug Pond,41.78333,-71.43333,Lacustrine,lake,NA,NA,,NA,,,,,
1659,1715,Wapizagonke,46.72639,-73.03056,Bog,bog,NA,NA,,NA,,,,,
1660,1716,Sud du Lac du Noyer,46.78778,-72.83778,Natural Lake,lake,1,"Confirmed site with publication, Change area",,0.8,,,done,1.7,kept Neotoma value
1661,1717,Mayberry Well,33.7,-108.3,Playa,lake,NA,NA,,NA,,,,,
1663,1719,McCarston's Lake,45.05,-80.09,Lacustrine,lake,NA,NA,,NA,,,,,
1664,1720,McCraney Lake,47.17087,-95.70266,Kettle Lake,lake,NA,NA,,NA,,,,,
1667,1723,McLaughlan Lake,45.36333,-76.55417,Lacustrine,lake,NA,NA,,NA,,,,,
1668,1724,McMaster Lake,64.13333,-110.58333,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
1669,1725,McNearney Lake,46.42694,-84.951965,Glacial Origin Lake,lake,2,Compiled from Hydrological database.,,49.5,,,done,51,kept Neotoma value
11557,17280,Lovesick Lake,44.556805,-78.224795,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
11557,17281,Lovesick Lake,44.556805,-78.224795,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
11557,17283,Lovesick Lake,44.556805,-78.224795,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
5192,17285,Little Salt Spring,27.075,-82.23333,Solution Origin Lake,lake,NA,NA,,0.5,,,done,0.5,added dataset value
11558,17289,Hestvatn,64.02208,-20.71087,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11559,17290,Vestra Gislholtsvatn,63.944365,-20.51974,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
527,17292,Cycloid Lake,55.26667,-105.26667,Kettle Lake,lake,1,From the publication,,20,,,done,20,already in Neotoma
11560,17296,Lake Cleveland,42.32129,-113.64955,Cirque Lake,lake,2,Confirmed lake: Davis et al 1986,,9.7,,,done,9.7,added dataset value
3585,17298,Middle Butte Cave,43.36667,-112.61667,Cave,cave,NA,NA,,NA,,,,,
11561,17300,Rattlesnake Cave,43.5581,-112.6283,Cave,cave,NA,NA,,NA,,,,,
11563,17304,Capitola Lake,45.519575,-89.55507,Kettle Lake,lake,2,Confirmed lake: site description,,1.9,,,done,1.7,kept Neotoma value
11571,17320,Idavain Lake,58.772295,-155.945095,Glacial Origin Lake,lake,2,"Confirmed site with Google Earth, changed area",,55,,,done,55,added dataset value
11572,17322,Snipe Lake,60.62601,-154.303475,Glacial Origin Lake,lake,2,"Confirmed site with Google Earth, changed area",,22,,,done,22,added dataset value
11573,17324,Imnavait Creek,68.66619,-149.358785,Bog,bog,2,Confirmed site and area with publication (Eisner 1991),,210,,,,NA,"no area in Neotoma, not a lake"
11574,17326,Oil Lake,70.292225,-151.166805,Glacial Scour Lake,lake,2,"Confirmed site with Google Earth, changed area",,45,,,done,45,added dataset value
11575,17328,Sands of Time Lake,66.029335,-147.55331,Glacial Origin Lake,lake,2,"Confirmed site with Google Earth, changed area",,62,,,done,240,**kept Neotoma value
1677,1733,Lac Mélèze,65.21667,-126.11667,Natural Lake,lake,2,"Confirmed site with pub (MacDonald 1987), changed area",,32,,,done,4,kept Neotoma value
11579,17338,Sithylemenkat Lake,66.12399,-151.391555,Meteorite Impact Crater,lake,NA,NA,,NA,,,,,
11580,17340,St. Lawrence Section 2,63.66722,-171.547915,Marine Wave-cut Platform,marine,2,"Confirmed site with publication, peat exposure",,87,,,,NA,"no area in Neotoma, not a lake"
11583,17345,North Killeak Lake,66.36669,-164.054,Explosion Crater Lake,lake,NA,NA,,NA,,,,,
11584,17347,St. Lawrence Island Section 3,63.67389,-171.581945,Marine Wave-cut Platform,marine,1,"Confirmed site with pub (Lozhkin et al, 1998), Peat Exposure",,87,,,,NA,"no area in Neotoma, not a lake"
1679,1735,Lake Mendota,43.1,-89.41667,Lacustrine,lake,2,"Confirmed lake, Winkler 1986",,3961.2,,,done,3961.2,added dataset value
11585,17352,Windmill Lake,63.6589,-148.80525,Moraine Dammed Lake,lake,2,"Confirmed site with Google Earth, changed area",,81,,,done,2,**kept Neotoma value
11586,17354,Blair Lakes,64.36008,-147.368165,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11587,17355,Circle Lake,59.80086,-151.1592,Kettle Lake,lake,NA,NA,,NA,,,,,
11588,17357,Clam Gulch,60.22393,-151.362935,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11589,17359,Eightmile Lake,63.888645,-149.2518,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11590,17361,Grizzly Lake,62.71064,-144.197185,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
11591,17363,Panthertown Creek Bog,35.16662,-83.02511,Poor Fen,fen,NA,NA,,NA,,,,,
11595,17373,Kalifonsky Beach,60.483445,-151.262085,Marine Beach,,NA,NA,,NA,,,,,
11596,17375,Homer Beach,59.6339,-151.5119,Marine Beach,,NA,NA,,NA,,,,,
11597,17377,Longmere Lake,60.500895,-150.90992,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11598,17379,Lake Minchumina,63.890855,-152.238915,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11599,17381,Mosquito Pond,63.986445,-145.54015,Kettle Lake,lake,NA,NA,,NA,,,,,
11600,17383,Otto Lake,63.84225,-149.035575,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11601,17385,Watana Triangle Pond,62.842885,-148.24701,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11602,17387,Beaver Lake,44.919595,-88.15694,Kettle Lake,lake,2,Confirmed lake: site description,,3.6,,,done,3.5,kept Neotoma value
11603,17389,Wiener Lake,61.81078,-148.16984,Backwater Lake,lake,NA,NA,,NA,,,,,
11604,17391,Zagoskin Lake,63.44847,-162.10838,Explosion Crater Lake,lake,2,"Confirmed site with Google Earth, changed area",,84,,,done,16,**kept Neotoma value
11605,17393,Fishblue (Blue) Lake,49.992745,-121.49262,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11606,17396,Steel Lake,46.973155,-94.68138,Glacial Origin Lake,lake,1,Confirmed lake: description and Geiss et al 2003,,23,,,done,23,already in Neotoma
11607,17398,Piermont Marsh,41.027635,-73.908375,Marsh,marsh,1,"Confirmed site with Google Earth, changed area",,29,,,,110,"**vastly different, not a lake"
1684,1740,Mermaid Bog,46.25,-63.025,Raised Bog,bog,NA,NA,,NA,,,,,
11608,17400,South Lake,69.080765,-121.42854,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
11609,17402,Little Swift Lake,60.216475,-159.76567,Moraine Dammed Lake,lake,2,"Confirmed site and area with pub (Axford et al, 2004)",,75,,,done,75,added dataset value
11610,17404,Lorraine Lake,46.144685,-86.48299,Kettle Lake,lake,2,Compiled from Hydrological database.,,5.1,,,done,4.5,kept Neotoma value
11611,17406,Penegor Lake,46.61506,-88.86036,Kettle Lake,lake,2,Compiled from Hydrological database.,,4,,,done,4,already in Neotoma
11613,17409,Kelly Lake,46.44356,-81.068245,Nonspecific Floodplain Lake,lake,NA,NA,,NA,,,,,
11616,17417,"Big Cypress Bend [End boardwalk ""Fak10 endB""]",25.949,-81.46761,Swamp,swamp,NA,NA,,NA,,,,,
11617,17419,Cumbres Bog,37.021745,-106.45052,Bog,bog,2,"Confirmed site with publication (Johnson et al.), changed area",,0.5,,,,NA,"no area in Neotoma, not a lake"
11643,17476,McCall Glacier,69.29504,-143.79003,Glacial Ice,ice,2,"Its a glacier, I measured the upper lobe.",,84,,,,NA,"no area in Neotoma, not a lake"
1698,1754,Lac Mimi,47.49694,-70.37583,Natural Lake,lake,NA,NA,,NA,,,,,
1699,1755,Minakokosa Lake,66.91667,-155.03333,Moraine Dammed Lake,lake,NA,NA,,NA,,,,,
1701,1757,Lake Minnie,47.244755,-95.007715,Kettle Lake,lake,2,Confirmed lake: description and Almendinger 1992,,30.1,,,done,30.5,kept Neotoma value
11696,17597,Benacadie 4,45.91664,-60.69363,Glacial Origin Lake,lake,NA,NA,,NA,,,,,
1705,1761,Molas Lake,37.74759,-107.682735,Glacial Scour Lake,lake,NA,NA,,NA,,,,,
11706,17617,Lismore Section,45.70486,-62.27347,Coastal,,NA,NA,,NA,,,,,
