"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Fraxinus pennsylvanica/F. americana-type","NISP","pollen","NA","Vascular plants","TRSH","Fraxinus pennsylvanica/F. americana-type","Ash"
"Fraxinus quadrangulata/F. nigra-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Fraxinus-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Ash"
"Gaultheria procumbens","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Gleditsia","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Granabivesiculites inchoatus","NISP","pollen","anachronic","Vascular plants","TRSH","Granabivesiculites inchoatus","NA"
"Hedyotis","NISP","pollen","NA","Vascular plants","TRSH","Hedyotis","NA"
"Hudsonia","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ilex","NISP","pollen","NA","Vascular plants","TRSH","Ilex","NA"
"Ilex-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Ilex/Nemopanthus","NISP","pollen","NA","Vascular plants","TRSH","Ilex/Nemopanthus","NA"
"Ilex/Nemopanthus undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Juglans","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Juglans","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Juglans cf. J. cinerea","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Juglans cf. J. nigra","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Juglans cinerea","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Juglans cinerea-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Juglans nigra","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Juglans nigra-type","NISP","pollen","NA","Vascular plants","TRSH","Juglans nigra-type","Other hardwood"
"Juglans undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Juniperus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Juniperus-type","NISP","pollen","NA","Vascular plants","TRSH","Juniperus-type","Other conifer"
"Juniperus/Thuja","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Larix","NISP","pollen","NA","Vascular plants","TRSH","NA","Tamarack"
"Larix","NISP","stomate","NA","Vascular plants","TRSH","Larix|stomate|NISP","NA"
"Larix","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Tamarack"
"Larix laricina","NISP","pollen","NA","Vascular plants","TRSH","NA","Tamarack"
"Larix/Pseudotsuga","NISP","pollen","NA","Vascular plants","TRSH","Larix/Pseudotsuga","Tamarack"
"Liquidambar","NISP","pollen","NA","Vascular plants","TRSH","Liquidambar","NA"
"Lonicera","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Lonicera canadensis","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Lonicera hirsuta","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Lonicera-type","NISP","pollen","NA","Vascular plants","TRSH","Lonicera-type","NA"
"Maclura","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Maclura pomifera","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Maclura pomifera-type","NISP","pollen","NA","Vascular plants","TRSH","Maclura pomifera-type","NA"
"Maclura-type","NISP","pollen","NA","Vascular plants","TRSH","Maclura-type","NA"
"Magnolia","NISP","pollen","NA","Vascular plants","TRSH","Magnolia","Other hardwood"
"Moraceae","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Moraceae undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Morus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Morus rubra","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Myrica","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Myrica gale","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Myrica-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Myrica/Comptonia","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Myrica/Comptonia peregrina","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Myricaceae","NISP","pollen","NA","Vascular plants","TRSH","Myricaceae","NA"
"Myricaceae undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Nemopanthus","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Nyssa","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Nyssa sylvatica","NISP","pollen","NA","Vascular plants","TRSH","Nyssa sylvatica","Other hardwood"
"Ostrya","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Ostrya-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Ostrya/Carpinus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Ostrya/Carpinus","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Parthenocissus","NISP","pollen","NA","Vascular plants","TRSH","Parthenocissus","NA"
"Picea","NISP","pollen","NA","Vascular plants","TRSH","NA","Spruce"
"Picea","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Spruce"
"Picea glauca","NISP","pollen","NA","Vascular plants","TRSH","Picea glauca","Spruce"
"Picea glauca-type","NISP","stomate","NA","Vascular plants","TRSH","Picea glauca-type","Spruce"
"Picea indet.","NISP","pollen","NA","Vascular plants","TRSH","Picea indet.","Spruce"
"Picea mariana","NISP","pollen","NA","Vascular plants","TRSH","Picea mariana|pollen|NISP","Spruce"
"Picea mariana","NISP","stomate","NA","Vascular plants","TRSH","Picea mariana|stomate|NISP","Spruce"
"Picea undiff.","NISP","pollen","NA","Vascular plants","TRSH","Picea undiff.|pollen|NISP","Spruce"
"Picea undiff.","NISP","stomate","NA","Vascular plants","TRSH","Picea undiff.|stomate|NISP","Spruce"
"Picea/Pinus undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Pinaceae (vesiculate) undiff.","NISP","pollen","NA","Vascular plants","TRSH","Pinaceae (vesiculate) undiff.","NA"
"Pinaceae undiff.","NISP","pollen","NA","Vascular plants","TRSH","Pinaceae undiff.","NA"
"Pinus","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus","NISP","stomate","NA","Vascular plants","TRSH","Pinus","Pine"
"Pinus","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus banksiana","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus banksiana/P. resinosa","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus banksiana/P. resinosa-type","NISP","pollen","NA","Vascular plants","TRSH","Pinus banksiana/P. resinosa-type","Pine"
"Pinus det. P. banksiana/P. resinosa","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus det. P. strobus","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus resinosa","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus strobus","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus strobus-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus subg. Pinus","NISP","pollen","NA","Vascular plants","TRSH","Pinus subg. Pinus","Pine"
"Pinus subg. Pinus undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus subg. Pinus-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus subg. Strobus","NISP","pollen","NA","Vascular plants","TRSH","Pinus subg. Strobus","Pine"
"Pinus subg. Strobus-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Pine"
"Pinus undiff.","NISP","pollen","NA","Vascular plants","TRSH","Pinus undiff.","Pine"
"Pinus/Picea","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Planera aquatica","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Platanus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Platanus occidentalis","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Populus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Populus","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Populus balsamifera","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Populus balsamifera-type","NISP","pollen","NA","Vascular plants","TRSH","Populus balsamifera-type","Other hardwood"
"Populus grandidentata-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Populus tremuloides","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Populus tremuloides-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Populus undiff.","NISP","pollen","NA","Vascular plants","TRSH","Populus undiff.","Other hardwood"
"Prosopis","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Prosopis cf. P. pubescens","NISP","pollen","NA","Vascular plants","TRSH","Prosopis cf. P. pubescens","NA"
"Prunus","NISP","pollen","NA","Vascular plants","TRSH","Prunus","Other hardwood"
"Prunus americana","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Prunus americana-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Prunus-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Pterocarya","NISP","pollen","anachronic","Vascular plants","TRSH","NA","NA"
"Pyrus-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Quercus","NISP","pollen","NA","Vascular plants","TRSH","NA","Oak"
"Quercus","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Oak"
"Rhamnaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Rhamnaceae undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Rhamnaceae/Vitaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Rhamnaceae/Vitaceae undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Rhamnus","NISP","pollen","NA","Vascular plants","TRSH","Rhamnus","Other hardwood"
"Rhamnus alnifolia","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Rhododendron subsect. Ledum/Chamaedaphne calyculata","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Rhus","NISP","pollen","NA","Vascular plants","TRSH","Rhus","Other hardwood"
"Rhus glabra","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Rhus glabra-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Rhus sp.","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Rhus undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Rhus/Toxicodendron cf. T. radicans","NISP","pollen","NA","Vascular plants","TRSH","Rhus/Toxicodendron cf. T. radicans","Other hardwood"
"Rhus/Toxicodendron cf. T. vernix","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Ribes","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Robinia","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Rosaceae cf. Rubus pubescens","NISP","pollen","NA","Vascular plants","TRSH","Rosaceae cf. Rubus pubescens","NA"
"Rosaceae trees","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Rubiaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Rubus","NISP","pollen","NA","Vascular plants","TRSH","Rubus","NA"
"Rubus chamaemorus","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Rugubivesiculites","NISP","pollen","anachronic","Vascular plants","TRSH","NA","NA"
"Salix","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Salix","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Salix nigra","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Salix undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Sambucus","NISP","pollen","NA","Vascular plants","TRSH","Sambucus","NA"
"Sambucus racemosa","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Sarcobatus vermiculatus","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Shepherdia","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Shepherdia argentea","NISP","pollen","NA","Vascular plants","TRSH","Shepherdia argentea","NA"
"Shepherdia canadensis","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Shepherdia canadensis","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","NA"
"Spermatophyta undiff. (shrubs)","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Spermatophyta undiff. (trees)","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Spermatophyta undiff. (trees/shrubs)","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Spiraea","NISP","pollen","NA","Vascular plants","TRSH","Spiraea","NA"
"Spiraea-type","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Symphoricarpos","NISP","pollen","NA","Vascular plants","TRSH","Symphoricarpos","NA"
"Symphoricarpos occidentalis","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Taxus","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Taxus canadensis","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Thuja","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Thuja plicata-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Thuja-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Tilia","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Tilia","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Tilia americana","NISP","pollen","NA","Vascular plants","TRSH","NA","Other hardwood"
"Toxicodendron radicans","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Toxicodendron radicans-type","NISP","pollen","NA","Vascular plants","TRSH","NA","Other conifer"
"Toxicodendron vernix","NISP","pollen","NA","Vascular plants","TRSH","Toxicodendron vernix","Other conifer"
"Tsuga","NISP","pollen","NA","Vascular plants","TRSH","NA","Hemlock"
"Tsuga canadensis","NISP","pollen","NA","Vascular plants","TRSH","NA","Hemlock"
"Ulmus","NISP","pollen","NA","Vascular plants","TRSH","NA","Elm"
"Ulmus","NISP digitized","pollen","NA","Vascular plants","TRSH","NA","Elm"
"Ulmus americana","NISP","pollen","NA","Vascular plants","TRSH","NA","Elm"
"Vaccinium","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Viburnum","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Viburnum cf. V. opulus","NISP","pollen","NA","Vascular plants","TRSH","Viburnum cf. V. opulus","NA"
"Viburnum lentago","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Viburnum opulus","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Viburnum opulus-type","NISP","pollen","NA","Vascular plants","TRSH","Viburnum opulus-type","NA"
"Viburnum rafinesquianum-type","NISP","pollen","NA","Vascular plants","TRSH","Viburnum rafinesquianum-type","NA"
"Viburnum undiff.","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Viscaceae sensu stricto","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Vitaceae","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Vitis","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Vitis cf. V. aestivalis","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Vitis riparia","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Zanthoxylum","NISP","pollen","NA","Vascular plants","TRSH","Zanthoxylum","NA"
"Zanthoxylum americanum","NISP","pollen","NA","Vascular plants","TRSH","NA","NA"
"Zanthoxylum-type","NISP","pollen","NA","Vascular plants","TRSH","Zanthoxylum-type","NA"
"Indeterminable","NISP","pollen/spore","NA","Unidentified","UNID","NA","NA"
"Indeterminable","NISP","pollen","NA","Unidentified","UNID","NA","NA"
"Indeterminable (reticulate)","NISP","pollen/spore","NA","Unidentified","UNID","Indeterminable (reticulate)","NA"
"Indeterminable (triporate)","NISP","pollen/spore","NA","Unidentified","UNID","Indeterminable (triporate)","NA"
"Indeterminable undiff.","NISP","pollen/spore","NA","Unidentified","UNID","NA","NA"
"Indeterminable undiff.","NISP","pollen","NA","Unidentified","UNID","Indeterminable undiff.","NA"
"Other plants","NISP","pollen","NA","Plants undiff.","UNID","NA","NA"
"Unknown","NISP","pollen/spore","NA","Unidentified","UNID","NA","NA"
"Unknown","NISP","pollen","NA","Unidentified","UNID","NA","NA"
"Unknown (diporate)","NISP","spore","NA","Unidentified","UNID","NA","NA"
"Unknown (inaperturate, psilate)","NISP","pollen/spore","NA","Unidentified","UNID","NA","NA"
"Unknown (monolete, psilate)","NISP","spore","NA","Unidentified","UNID","NA","NA"
"Unknown (monolete, verrucate)","NISP","spore","NA","Unidentified","UNID","NA","NA"
"Unknown (monolete)","NISP","spore","NA","Unidentified","UNID","Unknown (monolete)","NA"
"Unknown (monolete) undiff.","NISP","spore","NA","Unidentified","UNID","Unknown (monolete) undiff.","NA"
"Unknown (pre-Quaternary)","NISP","pollen/spore","anachronic","Unidentified","UNID","Unknown (pre-Quaternary)","NA"
"Unknown (pre-Quaternary)","NISP","palynomorph","NA","Unidentified","UNID","NA","NA"
"Unknown (trilete, psilate)","NISP","spore","NA","Unidentified","UNID","NA","NA"
"Unknown (trilete, scabrate)","NISP","spore","NA","Unidentified","UNID","NA","NA"
"Unknown (trilete)","NISP","spore","NA","Unidentified","UNID","Unknown (trilete)","NA"
"Unknown (trilete) undiff.","NISP","spore","NA","Unidentified","UNID","Unknown (trilete) undiff.","NA"
"Unknown undiff.","NISP","pollen/spore","anachronic","Unidentified","UNID","NA","NA"
"Unknown undiff.","NISP","spore","anachronic","Unidentified","UNID","NA","NA"
"Bryopsida","NISP","spore","NA","Bryophytes","UPBR","NA","NA"
"Acalypha cf. A. rhomboidea","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Achillea","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Achillea-type","NISP","pollen","NA","Vascular plants","UPHE","Achillea-type","NA"
"Agastache-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Allium","NISP","pollen","NA","Vascular plants","UPHE","Allium","NA"
"Allium-type","NISP","pollen","NA","Vascular plants","UPHE","Allium-type","NA"
"Alternanthera","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Amaranthaceae","NISP","pollen","NA","Vascular plants","UPHE","Amaranthaceae","NA"
"Amaranthaceae","NISP digitized","pollen","NA","Vascular plants","UPHE","NA","NA"
"Amaranthaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Amaranthaceae-type","NISP","pollen","NA","Vascular plants","UPHE","Amaranthaceae-type","NA"
"Ambrosia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ambrosia-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Ambrosia/Iva","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Amorpha","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Amorpha canescens","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Amorpha cf. A. canescens","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Amorpha-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Anemone","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Anemone canadensis-type","NISP","pollen","NA","Vascular plants","UPHE","Anemone canadensis-type","NA"
"Anemone quinquefolia-type","NISP","pollen","NA","Vascular plants","UPHE","Anemone quinquefolia-type","NA"
"Anemone-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Angiospermae undiff. (herbs)","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Anthemis-type","NISP","pollen","NA","Vascular plants","UPHE","Anthemis-type","NA"
"Apiaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Apiaceae cf. Sium suave","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Apiaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Arabis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Araceae cf. Calla","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Araceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Arceuthobium pusillum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Armeria","NISP","pollen","NA","Vascular plants","UPHE","Armeria","NA"
"Artemisia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Artemisia","NISP digitized","pollen","NA","Vascular plants","UPHE","NA","NA"
"Aster-type","NISP","pollen","NA","Vascular plants","UPHE","Aster-type","NA"
"Asteraceae","NISP","pollen","NA","Vascular plants","UPHE","Asteraceae","NA"
"Asteraceae (high spine)","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Asteraceae (lophate, echinate)","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Asteraceae (low spine)","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Asteraceae subf. Asteroideae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Asteraceae subf. Asteroideae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Asteraceae subf. Cichorioideae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Asteraceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Asteraceae undiff.","NISP digitized","pollen","NA","Vascular plants","UPHE","NA","NA"
"Astragalus-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Avena-type","NISP","pollen","NA","Vascular plants","UPHE","Avena-type","NA"
"Avena/Triticum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Balsaminaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Bidens","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Bidens-type","NISP","pollen","NA","Vascular plants","UPHE","Bidens-type","NA"
"Bistorta officinalis-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Bistorta vivipara","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Bistorta vivipara-type","NISP","pollen","NA","Vascular plants","UPHE","Bistorta vivipara-type","NA"
"Boraginaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Boraginaceae cf. Mertensia paniculata","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Boraginaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Brassica","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Brassica-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Brassicaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Brassicaceae cf. Brassica","NISP","pollen","NA","Vascular plants","UPHE","Brassicaceae cf. Brassica","NA"
"Brassicaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","Brassicaceae undiff.","NA"
"Caltha-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Campanula","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Campanula aparinoides-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Campanula rotundifolia-type","NISP","pollen","NA","Vascular plants","UPHE","Campanula rotundifolia-type","NA"
"Campanulaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cannabaceae cf. Humulus","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cannabaceae sensu stricto","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cannabaceae sensu stricto undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cannabis sativa","NISP","pollen","NA","Vascular plants","UPHE","Cannabis sativa","NA"
"Cannabis sativa-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cannabis-type","NISP","pollen","NA","Vascular plants","UPHE","Cannabis-type","NA"
"Caryophyllaceae","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Caryophyllaceae cf. Silene","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Caryophyllaceae undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Caulophyllum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Caulophyllum thalictroides","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Centaurea","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cerealia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cerealia undiff.","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cerealia-type","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"Cerealia-type undiff.","NISP","pollen","NA","Vascular plants","UPHE","Cerealia-type undiff.","NA"
"cf. Acalypha","NISP","pollen","NA","Vascular plants","UPHE","cf. Acalypha","NA"
"cf. Adoxa moschatellina","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Amorpha","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Arabis glabra","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Brassica","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Caltha","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Eriogonum","NISP","pollen","NA","Vascular plants","UPHE","cf. Eriogonum","NA"
"cf. Euphorbia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Gentiana","NISP","pollen","NA","Vascular plants","UPHE","cf. Gentiana","NA"
"cf. Geranium","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Hedysarum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Heuchera richardsonii","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Hypericum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Impatiens","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Iva annua","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Linaria canadensis","NISP","pollen","NA","Vascular plants","UPHE","cf. Linaria canadensis","NA"
"cf. Linum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Lobelia siphilitica","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Lysimachia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Lysimachia thyrsiflora","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Medicago","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Mertensia paniculata","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Mitella nuda","NISP","pollen","NA","Vascular plants","UPHE","cf. Mitella nuda","NA"
"cf. Parietaria pensylvanica","NISP","pollen","NA","Vascular plants","UPHE","cf. Parietaria pensylvanica","NA"
"cf. Parnassia","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Pedicularis","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Penthorum sedoides","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Phacelia hastata","NISP","pollen","NA","Vascular plants","UPHE","cf. Phacelia hastata","NA"
"cf. Plantago","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
"cf. Polygonum","NISP","pollen","NA","Vascular plants","UPHE","NA","NA"
